School Namekeyboard_arrow_down,Score 2018 - 19,Rank 2018 - 19,Citykeyboard_arrow_down,language,School Type,Posta Code,Posta Code Detailed,Lat,Long
A.S. Johnson Memorial,5.7,263,Thetford Mines,English,Public,G6G,G6G 6H3,46.0715675,-71.3009414
Alexander Galt,5.4,294,Sherbrooke,English,Public,J1M,J1M 2H4,45.3650653,-71.8148123
Alexander von Humboldt,6,222,Baie-D'Urfé,English,Private,H9X,H9X 2H7,45.416798,-73.908269
Ali Ibn Abi Talib,8.3,49,Montréal,French,Private,H4N,H4N 2T6,45.5288046,-73.6525261
Amos,4.3,405,Montréal,French,Public,H2S,H2S 3C4,45.5320867,-73.6090731
André-Laurendeau,4.9,357,Longueuil,French,Public,J3Y,J3Y 3B4,45.4903413,-73.4290032
Antoine Manseau,8,66,Joliette,French,Private,J6E,J6E 4T1,46.0261453,-73.4361781
Antoine-Bernard,6.1,209,Carleton-sur-Mer,French,Public,G0C,G0C 0A7,48.1042905,-66.1152862
Antoine-Brossard,4.5,391,Brossard,French,Public,J4Y,J4Y 1R2,45.4501849,-73.4586185
Antoine-de-Saint-Exupéry,5.7,263,Montréal,French,Public,H1R,H1R 1P9,45.5851203,-73.6016288
Antoine-Roy,3,452,Gaspé,French,Public,G4X,G4X 4G1,48.9134987,-64.4287718
Armand-Corbeil,6.6,159,Terrebonne,French,Public,J6W,J6W 3A6,45.7076494,-73.6411304
Armand-Saint-Onge,5.5,277,Amqui,French,Public,G5J,G5J 2L8,48.4610876,-67.4386045
Arménienne Sourp Hagop,7.4,102,Montréal,French,Private,H4J,H4J 1N1,45.5319151,-73.6964795
Arthur Pigeon,4.2,413,Huntingdon,French,Public,J0S,J0S 1H0,45.0885687,-74.1693749
Arvida,5.3,312,Saguenay,French,Public,G7H,G7H 7R8,48.3843871,-71.0664023
Augustin-Norbert-Morin,7.7,84,Sainte-Adèle,French,Public,J8B,J8B 2L7,45.9370758,-74.1347667
aux Quatre-Vents,5.8,243,Bonaventure,French,Public,G0C,G0C 1E0,48.0525436,-65.4864807
Barthélemy-Joliette,3.1,448,Joliette,French,Public,J6E,J6E 6E6,46.0127534,-73.4442244
Beaconsfield,6.5,166,Beaconsfield,English,Public,H9W,H9W 5G4,45.4294461,-73.862586
Beaubois,9.5,12,Montréal,French,Private,H8Y,H8Y 3T4,45.5074866,-73.7804359
Beaulieu,3.4,441,Saint-Jean-sur-Richelieu,French,Public,J2W,J2W 2G6,45.3790046,-73.3387863
Beaurivage,7,122,Saint-Agapit,French,Public,G0S,G0S 1Z0,46.5634476,-71.4385518
"Belz, Campus Jeanne-Mance",5.4,294,Montréal,English,Private,H2T,H2T 1C4,45.526047,-73.5935545
Benoît-Vachon,4.7,377,Sainte-Marie,French,Public,G6E,G6E 1E6,46.454436,-71.0296636
Beth Jacob d'Rav Hirschprung,7.5,93,Montréal,English,Private,H2V,H2V 4V6,45.5174965,-73.6237629
Beth Rivkah,8.4,40,Montréal,French,Private,H3W,H3W 1C2,45.4942849,-73.6459521
Beurling,3.9,428,Verdun,English,Public,H4H,H4H 2A9,45.4482734,-73.5863962
Bialik,8.2,56,Côte-Saint-Luc,English,Private,H4W,H4W 0A1,45.4788177,-73.6579477
Black Lake,6.3,183,Thetford Mines,French,Public,G6G,G6G 8A6,46.0715982,-71.3253384
Bon-Pasteur,4.2,413,L'Islet,French,Public,G0R,G0R 2B0,47.1201493,-70.3771324
Boudreau,1.8,464,Québec,French,Public,G1W,G1W 3H5,46.7687915,-71.2786408
Bourget,7.1,114,Rigaud,French,Private,J0P,J0P 1P0,45.4737358,-74.3083564
Bromptonville,5.7,263,Sherbrooke,French,Private,J1H,J1H 6B3,45.380945,-71.8839131
Bélanger,5.3,312,Saint-Martin,French,Public,H4N,H4N 2Z4,45.5361768,-73.6696146
C.-E.-Pouliot,3.9,428,Gaspé,French,Public,G4X,G4X 1A6,48.8369444,-64.4775
Cabano,6.8,139,Témiscouata-sur-le-Lac,French,Public,G0L,G0L 1E0,47.6976245,-68.8980789
Calixa-Lavallée,4.4,397,Montréal,French,Public,H1H,H1H 1P8,45.5976936,-73.6370831
Camille-Lavoie,7.9,74,Alma,French,Public,G8B,G8B 2E2,48.5429807,-71.6557123
Cap-Jeunesse,5.5,277,Saint-Jérôme,French,Public,J7Z,J7Z 2L4,45.7740795,-73.9785411
Cardinal-Roy,7.8,79,Québec,French,Public,G1K,G1K 8S9,46.8182594,-71.2373739
Casavant,4.9,357,Saint-Hyacinthe,French,Public,J2S,J2S 4J9,45.6318595,-72.9484375
Cavelier-De LaSalle,4.4,397,Montréal,French,Public,H8R,H8R 2K2,45.4179392,-73.6402526
Centennial,6.3,183,Greenfield Park,English,Public,J4V,J4V 3H1,45.4913357,-73.4460953
Centre académique de l'Outaouais,4.1,418,Gatineau,French,Private,J8P,J8P 1G9,45.4855081,-75.60596
Chambly,3.6,437,Saint-Lambert,English,Public,J4R,J4R 1S1,45.4985516,-73.5035633
Champagnat,6.1,209,La Tuque,French,Public,G9X,G9X 2T7,47.4386737,-72.7819778
Champagneur,5.5,277,Rawdon,French,Private,J0K,J0K 2T0,46.0440196,-73.7105803
Chanoine-Armand-Racicot,5.1,337,Saint-Jean-sur-Richelieu,French,Public,J3A,J3A 1J1,45.3333219,-73.2767076
Chanoine-Beaudet,6.1,209,Saint-Pascal,French,Public,G0L,G0L 3Y0,47.5289972,-69.805918
Charlemagne,10,1,Montréal,French,Private,H9K,H9K 1G4,45.4603765,-73.9183686
Charles-Gravel,4.5,391,Saguenay,French,Public,G7G,G7G 3N9,48.4480116,-71.0813301
Charles-Lemoyne,8.1,60,Longueuil,French,Private,J4S,J4S 1P6,45.480046,-73.4839502
Charles-Lemoyne,7.4,102,Sainte-Catherine,French,Private,J4S,J4S 1P6,45.399332,-73.5491677
Charlesbourg,5.8,243,Québec,French,Public,G1H,G1H 5L7,46.8410694,-71.254841
Chavigny,4.6,383,Trois-Rivières,French,Public,G8Z,G8Z 1Y8,46.3454095,-72.5642327
Chicoutimi,6.7,150,Saguenay,French,Private,G7N,G7N 1B9,48.3346015,-71.1023315
Chomedey-De-Maisonneuve,1.3,467,Montréal,French,Public,H1V,H1V 2R2,45.5527266,-73.5384751
Châteauguay Valley,4.6,383,Ormstown,French,Public,J0S,J0S 1K0,45.1224231,-74.0027119
Citoyen,7.5,93,Montréal,French,Private,J0S,J0S 1K0,45.1224231,-74.0027119
Cité étudiante,4.3,405,Roberval,French,Public,G8H,G8H 0C5,48.5008754,-72.2318303
Clarétain,6.3,183,Victoriaville,French,Private,G8H,G8H 0C5,48.5008754,-72.2318303
College Prep International,6.9,133,Montréal,English,Private,H4B,H4B 1S5,45.4543059,-73.6422933
Collège d'Anjou,6.7,150,Montréal,French,Private,H4B,H4B 1S5,45.4543059,-73.6422933
Collège de l'Ouest de l'Île,8.7,30,Dollard-Des Ormeaux,French,Private,H9B,H9B 2L2,45.4784281,-73.8152796
Collège de Montréal,7.5,93,Montréal,French,Private,H9B,H9B 2L2,45.4784281,-73.8152796
Collège Dina Bélanger,5.5,277,Saint-Michel-de-Bellechasse,French,Private,G0R,G0R 0B4,46.8767587,-70.9064681
Collège Français,7.8,79,Longueuil,French,Private,J4P,J4P 1B8,45.5152212,-73.5241655
Collège François-de-Laval,8.1,60,Québec,French,Private,G1R,G1R 3T5,46.8151969,-71.2064056
Collège Héritage,8.5,35,Châteauguay,French,Private,J6J,J6J 4R8,45.3740388,-73.7536508
Collège Laval,9.3,17,Laval,French,Private,J6J,J6J 4R8,45.3740388,-73.7536508
Collège Saint-Louis,10,1,Montréal,French,Public,H8T,H8T 2A4,45.4363685,-73.6974718
Collège Trinité,7.4,102,Saint-Bruno-de-Montarville,French,Private,J3N,J3N 0E3,45.535721,-73.302447
Curé-Antoine-Labelle,5.2,326,Laval,French,Public,H7L,H7L 2S8,45.605788,-73.7840613
Curé-Hébert,1.5,466,Hébertville,French,Public,G8N,G8N 1M1,48.3704544,-71.6407552
Curé-Mercure,5.2,326,Mont-Tremblant,French,Public,J8E,J8E 2T4,46.1244947,-74.5838106
d'Amos,5.1,337,Amos,French,Public,J9T,J9T 2J2,48.5801628,-78.1111363
D'Arcy McGee,6.1,209,Gatineau,English,Public,J9J,J9J 4E8,45.4224416,-75.805914
D'Iberville,5.5,277,Rouyn-Noranda,French,Public,J9X,J9X 3H5,48.234831,-79.008338
Dalbé-Viau,5.7,263,Montréal,French,Public,H8S,H8S 1P3,45.442706,-73.679058
Daniel-Johnson,2.5,460,Montréal,French,Public,H1B,H1B 2G4,45.6494216,-73.4961242
de Champigny,7,122,Québec,French,Private,G1M,G1M 2G4,46.8116764,-71.2618861
de Gaspé,6.5,166,Gaspé,French,Public,G4X,G4X 4C9,49.0686995,-64.4907911
de L'Achigan,3.2,446,Saint-Roch-de-l'Achigan,French,Public,J5X,J5X 4S9,45.8627696,-73.5943648
de l'Amitié,3.1,448,L'Assomption,French,Public,J5X,J5X 4S9,45.8627696,-73.5943648
de L'Ancienne-Lorette,5.8,243,L'Ancienne-Lorette,French,Public,G2E,G2E 1V1,46.7986062,-71.3601059
de L'Escale,4.6,383,Asbestos,French,Public,J1T,J1T 1V9,45.7735242,-71.9290444
de l'Odyssée,5.2,326,Terrebonne,French,Public,J1T,J1T 1V9,45.7735242,-71.9290444
de l'Odyssée,5.8,243,Saguenay,French,Public,J1T,J1T 1V9,48.4179042,-71.0630876
de L'Érablière,5.3,312,Saint-Félix-de-Valois,French,Public,J0K,J0K 2J0,46.1665669,-73.4328931
de L'Érablière,5.3,312,Gatineau,French,Public,J0K,J0K 2J0,45.4933711,-75.7385815
de L'Île,5.4,294,Gatineau,French,Public,J8X,J8X 2T5,45.4360129,-75.7229625
de la Baie-Saint-François,5.4,294,Salaberry-de-Valleyfield,French,Public,J6T,J6T 5H6,45.2393383,-74.1147194
de la Courvilloise,6.2,201,Québec,French,Public,J6T,J6T 5H6,45.2393383,-74.1147194
de la Haute-Ville,5.1,337,Granby,French,Public,J2G,J2G 4P5,45.405883,-72.7157533
de la Magdeleine,6.5,166,La Prairie,French,Public,J5R,J5R 3E9,45.4041448,-73.5021558
de la Montée,6,222,Sherbrooke,French,Public,J1H,J1H 5E7,45.3874561,-71.883101
de la Rencontre,5.3,312,Saint-Pamphile,French,Public,G0R,G0R 3L0,46.9591226,-69.7842916
de la Rive,1.6,465,Lavaltrie,French,Public,J5T,J5T 1H2,45.8711705,-73.2912929
de la Ruche,6.5,166,Magog,French,Public,J1X,J1X 7J8,45.276934,-72.1409376
de la Seigneurie,6.3,183,Québec,French,Public,J0G,J0G 0A9,46.1561383,-72.5985709
De Mortagne,7,122,Boucherville,French,Public,J4B,J4B 7P5,45.5936208,-73.4370122
de Neufchâtel,4.9,357,Québec,French,Public,G1C,G1C 0B9,46.825844,-71.3024252
De Roberval,8.4,40,Montréal,French,Public,H2P,H2P 2X6,45.5501175,-73.6252489
De Rochebelle,6.8,139,Québec,French,Public,G1V,G1V 3Y5,46.7679308,-71.2979734
des Abénaquis,4.1,418,Saint-Prosper,French,Public,G0X,G0X 0C6,46.216387,-70.4854927
des Appalaches,4,422,Sainte-Justine,French,Public,G0R,G0R 0B6,46.4072941,-70.3537612
des Baies,4.9,357,Baie-Comeau,French,Public,G4Z,G4Z 2P2,49.2031829,-68.2051377
des Berges,6.4,177,Les Bergeronnes,French,Public,G4Z,G4Z 2P2,49.2031829,-68.2051377
des Chutes,3.1,448,Rawdon,French,Public,J0K,J0K 1S0,46.050888,-73.726228
des Chutes,6.3,183,Shawinigan,French,Public,J0K,J0K 1S0,46.5602967,-72.7402164
des Deux-Rivières,3.8,432,Matapédia,French,Public,G0J,G0J 1V0,47.9768295,-66.9382246
des Grandes-Marées,4.7,377,Saguenay,French,Public,G7B,G7B 4C7,48.3229526,-70.8842559
des Hauts Sommets,0,469,Saint-Tite-des-Caps,French,Private,G7B,G7B 4C7,48.3229526,-70.8842559
des Hauts-Sommets,6.8,139,Saint-Jérôme,French,Public,J7Y,J7Y 5B1,45.8064998,-73.9960292
des Lacs,5.8,243,La Pêche,French,Public,J8V,J8V 3H5,45.64307,-76.037414
des Montagnes,5.1,337,Saint-Michel-des-Saints,French,Public,J0K,J0K 3B0,46.6821155,-73.865491
des Patriotes,5.3,312,Beauharnois,French,Public,J6N,J6N 2W8,45.3026561,-73.8696037
des Patriotes,5.8,243,Saint-Eustache,French,Public,J6N,J6N 2W8,45.5750961,-73.9071303
des Pionniers,5.4,294,Trois-Rivières,French,Public,G9A,G9A 3C5,46.3619102,-72.5557006
des Pionniers,5.5,277,Saint-Augustin-de-Desmaures,French,Public,G9A,G9A 3C5,46.7518463,-71.3786443
des Pères Maristes,8.5,35,Québec,French,Private,G1T,G1T 1R4,46.7699699,-71.260292
des Quatre-Vents,5.5,277,Saint-Félicien,French,Public,G8K,G8K 2M9,48.6484105,-72.4561477
Des Rives,6.2,201,Terrebonne,French,Public,J6W,J6W 6L1,45.7076255,-73.5776321
des Rivières,6.7,150,Forestville,French,Public,J7J,J7J 1X2,45.7108398,-73.9318888
des Sources,6.6,159,Dollard-Des Ormeaux,French,Public,H9B,H9B 2P1,45.4906825,-73.8118814
des Trois-Saisons,5.5,277,Terrebonne,French,Public,J6X,J6X 0C5,45.7139656,-73.6717615
des Îles,6.4,177,Les Îles-de-la-Madeleine,French,Public,G4T,G4T 3B4,47.3751891,-62.3832886
Deux-Montagnes,5.5,277,Deux-Montagnes,French,Public,J7R,J7R 6A2,45.5423226,-73.9062915
Disraëli,3,452,Disraeli,French,Public,J0B,J0B 3J0,45.7355069,-71.5503751
Dollard-des-Ormeaux,7.2,113,Shannon,English,Public,J0B,J0B 3J0,45.7355069,-71.5503751
Donnacona,6.2,201,Donnacona,French,Public,G3M,G3M 1Z8,46.6800244,-71.7278303
Dorval-Jean XXIII,6,222,Dorval,French,Public,G3M,G3M 1Z8,46.6800244,-71.7278303
du Chêne-Bleu,6.5,166,Pincourt,French,Public,J7V,J7V 9T2,45.3848961,-73.9721892
du Coeur-de-la-Gatineau,3,452,Gracefield,French,Public,J0X,J0X 1S0,46.0918879,-76.0537859
du Coteau,5.4,294,Mascouche,French,Public,J7L,J7L 4G5,45.7481252,-73.6343337
du Grand-Coteau,5.1,337,Sainte-Julie,French,Public,J3E,J3E 1B5,45.5807704,-73.346061
du Harfang,5.1,337,Sainte-Anne-des-Plaines,French,Public,J5N,J5N 4B4,45.7620728,-73.8209023
du Havre-Jeunesse,3.7,435,Sainte-Julienne,French,Public,J0K,J0K 2T0,45.9560105,-73.7208339
du le Mistral,4.2,413,Mont-Joli,French,Public,G5H,G5H 3K2,48.5841344,-68.201007
du Littoral,6.4,177,Grande-Rivière,French,Public,J9H,J9H 6A5,45.4036511,-75.8436668
du Mont-Bruno,5,350,Saint-Bruno-de-Montarville,French,Public,J3V,J3V 1R9,45.5339247,-73.3407056
du Mont-Sainte-Anne,5.9,231,Beaupré,French,Public,G0A,G0A 1E0,47.061762,-70.899329
du Phare,5.2,326,Sherbrooke,French,Public,J1H,J1H 4P6,45.3788974,-71.890534
du Plateau,7,122,La Malbaie,French,Public,G5A,G5A 1K2,47.6520989,-70.1564736
du Rocher,6.4,177,Shawinigan,French,Public,G9T,G9T 4M8,46.6127779,-72.6906764
du Tournant,0,469,Saint-Constant,French,Public,J5A,J5A 2S7,45.3739128,-73.5928162
du Tournesol,6,222,Windsor,French,Public,J1S,J1S 1T2,45.5732572,-71.9955364
du Transcontinental,6.7,150,Pohénégamook,French,Public,G0L,G0L 1J0,47.4751258,-69.1558948
du Triolet,5.8,243,Sherbrooke,French,Public,J1K,J1K 1Z3,45.3815542,-71.9464279
du Verbe Divin,7.4,102,Granby,French,Private,J2J,J2J 1E7,45.3965701,-72.7727167
du Versant,5.9,231,Gatineau,French,Public,J8R,J8R 3S8,45.4930292,-75.6815723
Dunton,5.1,337,Montréal,French,Public,H2V,H2V 3R8,45.5202689,-73.6070279
Durocher Saint-Lambert,9.2,20,Saint-Lambert,French,Private,J4P,J4P 2S9,45.5101454,-73.5169291
Dégelis,5.8,243,Dégelis,French,Public,G5T,G5T 0A1,47.629118,-68.5776794
Emmanuel Christian,7.5,93,Dollard-Des Ormeaux,English,Private,G5T,G5T 0A1,47.629118,-68.5776794
Esdras-Minville,4.9,357,Grande-Vallée,French,Public,G0E,G0E 0A5,49.2255748,-65.1202866
Esther Blondin,7.7,84,Saint-Jacques,French,Private,J6E,J6E 9H5,45.957962,-73.5633773
Eulalie-Durocher,2.6,459,Montréal,French,Public,H1W,H1W 3Y8,45.5352638,-73.5317052
Externat Sacré-Coeur,8.8,26,Rosemère,French,Private,J7A,J7A 4S2,45.6539198,-73.7905793
Externat Saint-Jean-Eudes,8.1,60,Québec,French,Private,G2L,G2L 2R5,46.8778689,-71.242334
F.A.C.E.,7,122,Montréal,English,Public,H3A,H3A 2A8,45.5061048,-73.5748935
FACE,6.6,159,Montréal,French,Public,H3A,H3A 2A8,45.5061048,-73.5748935
Fadette,4.2,413,Saint-Hyacinthe,French,Public,J2S,J2S 0M4,45.6330046,-72.9501458
Fernand-Lefebvre,4.3,405,Sorel-Tracy,French,Public,J3P,J3P 2J2,46.036248,-73.103488
François-Bourrin,7.1,114,Québec,French,Private,G1E,G1E 6T5,46.8625108,-71.196304
François-Delaplace,5.5,277,Waterville,French,Private,J1M,J1M 2A3,45.3420943,-71.8835675
Frenette,7.3,110,Saint-Jérôme,French,Public,J7Y,J7Y 2G6,45.7787168,-74.0115074
Fréchette,3.4,441,L'Anse-Saint-Jean,French,Public,G0V,G0V 0A5,48.1997947,-70.2391433
Félix-Leclerc,6.3,183,Repentigny,French,Public,J5Y,J5Y 3W9,45.7915601,-73.4117226
Félix-Leclerc,7.1,114,Pointe-Claire,French,Public,J5Y,J5Y 3W9,45.4491237,-73.8273023
Gabriel-Le Courtois,5.5,277,Sainte-Anne-des-Monts,French,Public,H9R,H9R 2Z8,45.4491237,-73.8273023
Georges-Vanier,4.5,391,Laval,French,Public,H7W,H7W 2P3,45.5985726,-73.6533288
Georges-Vanier,4,422,Montréal,French,Public,H7W,H7W 2P3,45.5495591,-73.6242855
Gilbert-Théberge,5,350,Témiscaming,French,Public,J0Z,J0Z 0E1,46.720941,-79.0994981
Grande-Rivière,5.8,243,Gatineau,French,Public,J9H,J9H 6A5,45.4036511,-75.8436668
Greaves Adventist,3,452,Montréal,English,Private,H4B,H4B 2P7,45.463981,-73.6230784
Gérard-Filion,3.2,446,Longueuil,French,Public,J4K,J4K 2G8,45.5114417,-73.4912441
Hebrew Academy,8.2,56,Côte-Saint-Luc,English,Private,H4W,H4W 2W8,45.4757185,-73.659579
Henri-Bourassa,6.8,139,Montréal,French,Public,H2R,H2R 2Z6,45.5324902,-73.6246372
Henri-Dunant,5.4,294,Blainville,French,Public,J7C,J7C 0C6,45.666192,-73.883255
Heritage Regional,6.1,209,Saint-Hubert,English,Public,J3Y,J3Y 3S2,45.4897016,-73.3915141
Herzliah High School,7.7,84,Montréal,English,Private,H3T,H3T 1R4,45.5093417,-73.6159666
Honoré-Mercier,4.4,397,Montréal,French,Public,H2T,H2T 2B9,45.5245061,-73.5901805
Horizon,0,469,Pointe-Claire,English,Public,H9R,H9R 1M3,45.4635355,-73.8057652
Horizon Jeunesse,5.9,231,Laval,French,Public,H7K,H7K 3L3,45.6111181,-73.7427333
Horizon-Blanc,6.6,159,Fermont,French,Public,G0G,G0G 1J0,52.7966747,-67.0916803
Hormisdas-Gamelin,6.3,183,Gatineau,French,Public,J8L,J8L 3R6,45.5871977,-75.400153
Howard S. Billings,3.9,428,Châteauguay,English,Public,J6J,J6J 3P9,45.3639756,-73.7309945
Hyacinthe-Delorme,6.3,183,Saint-Hyacinthe,French,Public,J2S,J2S 7M3,45.643873,-72.953197
Ibn Sina,5.5,277,Montréal,French,Private,J2S,J2S 7M3,45.643873,-72.953197
Institut d'Enseignement,3.9,428,Sept-Îles,French,Private,G4R,G4R 0S9,50.2169335,-66.3806987
Jacques-Rousseau,5.4,294,Longueuil,French,Public,G4R,G4R 0S9,50.2169335,-66.3806987
James Lyng,0,469,Montréal,English,Public,H4C,H4C 0B1,45.4684097,-73.5956982
Jean de la Mennais,9.5,12,La Prairie,French,Private,J5R,J5R 4H6,45.4109344,-73.4846649
Jean-Baptiste-Meilleur,6.5,166,Repentigny,French,Public,J6A,J6A 2G7,45.76237,-73.4352046
Jean-de-Brébeuf,2.9,456,Québec,French,Private,J6E,J6E 6H4,46.1216133,-73.4890684
Jean-de-Brébeuf,9.8,7,Montréal,French,Private,J6E,J6E 6H4,45.5016419,-73.6228927
Jean-Dolbeau,5.1,337,Dolbeau-Mistassini,French,Public,G8L,G8L 1V2,48.8710664,-72.2282655
Jean-du-Nord / Manikoutai,5.5,277,Sept-Îles,French,Public,G5A,G5A 3E6,47.8599889,-70.0094289
Jean-Eudes,9.7,8,Montréal,French,Private,H1X,H1X 1K7,45.5554957,-73.579071
Jean-Gauthier,4,422,Alma,French,Public,G8E,G8E 2L1,48.6388179,-71.6968871
Jean-Grou,5.4,294,Montréal,French,Public,H1E,H1E 4M9,45.6514312,-73.5805524
Jean-Jacques-Bertrand,6.8,139,Farnham,French,Public,J2N,J2N 2J4,45.27962,-72.9762648
Jean-Jacques-Rousseau,4.3,405,Boisbriand,French,Public,J7H,J7H 1K3,45.6152412,-73.854939
Jean-Nicolet,4.8,368,Nicolet,French,Public,J3T,J3T 1H8,46.2343109,-72.6190679
Jean-Raimbault,5.7,263,Drummondville,French,Public,J3T,J3T 1H8,46.2343109,-72.6190679
Jeanne-Mance,4.8,368,Drummondville,French,Public,H2H,H2H 1P6,45.5325061,-73.5691342
Jeanne-Mance,4.7,377,Montréal,French,Public,H2H,H2H 1P6,45.5095357,-73.5825159
Jeanne-Normandin,5.1,337,Montréal,French,Private,H2H,H2H 1P6,45.5325061,-73.5691342
Jeunes Musulmans Canadiens,7.1,114,Montréal,French,Private,H2H,H2H 1P6,45.5325061,-73.5691342
John F. Kennedy,4.6,383,Montréal,English,Public,H2A,H2A 1E6,45.5601795,-73.6043684
John Rennie,7.6,91,Pointe-Claire,English,Public,H2A,H2A 1E6,45.5601795,-73.6043684
Joliette,6.2,201,Joliette,English,Public,J6E,J6E 4Z8,46.0250936,-73.4484683
Jonquière,4.6,383,Saguenay,French,Public,G7S,G7S 4S5,48.4186954,-71.1427729
Joseph-François-Perrault,6.8,139,Montréal,French,Public,H2A,H2A 1M2,45.563144,-73.5998847
Joseph-François-Perrault,6.1,209,Québec,French,Public,H2A,H2A 1M2,45.563144,-73.5998847
Joseph-Hermas-Leclerc,4.9,357,Granby,French,Public,J2G,J2G 8V4,45.3774807,-72.7445278
Juvénat Notre-Dame du Saint-Laurent,8.8,26,Lévis,French,Private,G6W,G6W 7X2,46.7618928,-71.2354189
Jésus-Marie,6.3,183,Beauceville,French,Private,G5X,G5X 1T9,46.203893,-70.765129
Jésus-Marie de Sillery,8.5,35,Québec,French,Private,G1X,G1X 2H8,46.7766689,-71.2501537
Kells,5.5,277,Montréal,English,Private,H1W,H1W 0A1,45.4595076,-73.6311794
Keranna,8.4,40,Trois-Rivières,French,Private,G8Y,G8Y 0G8,46.3582365,-72.6045222
Kuper,8,66,Kirkland,English,Private,H9H,H9H 5K4,45.4521432,-73.8392158
Kénogami,6.8,139,Saguenay,French,Public,G7Z,G7Z 1J2,48.4308028,-71.2590557
L'Abri,4.6,383,Port-Cartier,French,Public,G5B,G5B 2M9,50.021595,-66.8860626
L'Académie Sainte-Thérèse,8.5,35,Sainte-Thérèse,French,Private,G5B,G5B 2M9,50.021595,-66.8860626
L'Agora,4.8,368,Longueuil,French,Public,J4V,J4V 1E8,45.4885807,-73.4516448
l'Arc-en-Ciel,5.8,243,Trois-Pistoles,French,Public,G0L,G0L 4B0,48.1188881,-69.1747897
L'Assomption,8.8,26,L'Assomption,French,Private,J5W,J5W 2C1,45.8238729,-73.4267247
l'Eau-Vive,6.9,133,Québec,French,Private,J0G,J0G 1N0,46.1241621,-72.5035119
L'Escale,5.4,294,Louiseville,French,Public,J5V,J5V 3A3,46.2493547,-72.9488513
l'Horizon,4.5,391,Repentigny,French,Public,J5Z,J5Z 3Y6,45.7635735,-73.477234
La Camaradière,5.1,337,Québec,French,Public,G1P,G1P 4G7,46.8156457,-71.3148898
La Cité étudiante,4.4,397,Maniwaki,French,Public,J9E,J9E 1P8,46.374923,-75.99877
